COMERCIAL EN FLETES MEXICO S.A. DE,"COMERCIAL EN FLETES MEXICO, S.A. DE C.V.",mx,1162145,[],,,[],[],,,,,,70.0,False,http://opencorporates.com/companies/mx/1162145,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1162145
"SERVICIO E INGENIERIA EN TECNOLOGIA ELECTRONICA,",nomatch
UNIVERSIDAD JUAREZ AUTONOMA DE TABASCO DIVISION CIENCIAS BIOLOGICAS,nomatch
"PROMAR ASOCIADOS, S.A. DE C.V.",nomatch
"QMAX MEXICO, S.A. DE C.V.",QMAX MEXICO SA DE CV,mx,1188881,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1188881,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1188881
"COTEMAR, S.A. DE C.V.",COTEMAR S.A DE C.V.,mx,2702078,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/2702078,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2702078
INSTITUTO DE INVESTIGACIONES ELECTRICAS,nomatch
"HYDROTESTING SERVICE, S.A. DE C.V.",nomatch
"INDUSTRIAS METALICAS DE TRIS, S.A. DE C.V.",INDUSTRIAS METALICAS DE TRIS S.A DE C.V.,mx,2563919,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/2563919,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2563919
"CORPORATIVO ATASTA, S.A. DE C.V.","CORPORATIVO ATASTA, S.A. DE C.V.",mx,2024375,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/2024375,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2024375
"PROVEEDORES DE MATERIALES INDUSTRIALES, S.A. DE C.",nomatch
RICARDO ULIN JIMENEZ,nomatch
"CORPORATIVO INDUSTRIAL DEL SUR, S.A. DE C.V.","CORPORATIVO INDUSTRIAL DEL SUR, S.A. DE C..V",mx,2106390,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/2106390,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2106390
"GVARGAS COMERCIALIZADORA, S.A. DE C.V.",nomatch
"INDUSTRIAS JOHN CRANE DE MEXICO, S.A. DE C.V.*",nomatch
"SUMINISTROS CDM DE MEXICO, S.A. DE C.V.",nomatch
"DISEÑE INGENIERIA, S.A. DE C.V.",nomatch
"MÉXICO DRILLING LIMITED, L.L.C.",MEXICO DRILLING LIMITED LLC,us_de,2731185,[],THE CORPORATION TRUST COMPANY,"CORPORATION TRUST CENTER, WILMINGTON, DE, 19801",[],[],,,,,,80.0,False,http://opencorporates.com/companies/us_de/2731185,
"NABORS PERFORACIONES DE MEXICO, S. DE R.L. DE C.V.",nomatch
INGENIERIA DE COSTOS Y CONSTRUCCION CALI S.A. DE C.V.,nomatch
"TUBOS DE ACERO DE MEXICO, S.A.(TAMSA)*",nomatch
DOWELL SCHLUMBERGER DE MEXICO S.A. DE C.V.,"DOWELL SCHLUMBERGER DE MEXICO, S.A DE C.V.",mx,1732159,[],,,[],[],,,,,,60.0,False,http://opencorporates.com/companies/mx/1732159,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1732159
"MANTENIMIENTO MARINO DE MEXICO, S. DE R.L. DE C.V.",nomatch
"CONDUX, S.A. DE C.V.","CONDUX, S.A. DE C.V., CO.",us_la,34100413F,[],C T CORPORATION SYSTEM,"3867 PLAZA TOWER DR., BATON ROUGE, LA 70816",[],[],,"CONDUX, S.A. DE C.V., CO.",nl,https://opencorporates.com/placeholders/35308605,True,20.0,False,http://opencorporates.com/companies/us_la/34100413F,http://coraweb.sos.la.gov/commercialsearch/CommercialSearchDetails.aspx?CharterID=249811_HT93
"MEXDRILL OFFSHORE, S. DE R. L. DE C.V. / DIAMOND OFFSHORE DRILLING (OVERSEAS) INC",nomatch
PGS MEXICANA S.A. DE C.V.,PGS MEXICANA SA DE CV,mx,1227579,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1227579,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1227579
"CONSTRUCCIONES INTEGRALES DEL CARMEN, S.A. DE C.V.","CONSTRUCCIONES INTEGRALES DEL CARMEN, S.A. DE C.V.",us_ny,3791991,[],REGISTERED AGENT REVOKED,,[],[],,"CONSTRUCCIONES INTEGRALES DEL CARMEN, S.A. DE C.V.",mx,https://opencorporates.com/placeholders/53505935,True,40.0,False,http://opencorporates.com/companies/us_ny/3791991,https://appext20.dos.ny.gov/corp_public/CORPSEARCH.ENTITY_INFORMATION?p_nameid=0&p_corpid=3791991&p_entity_name=dummy&p_name_type=%25&p_search_type=BEGINS&p_srch_results_page=0
"BGP INTERNATIONAL MEXICANA, S.A. DE C.V.",nomatch
"HALLIBURTON DE MEXICO, S. DE R.L. DE C.V.",nomatch
"SWECOMEX, S.A. DE C.V","SWECOMEX, S.A. DE C.V.",mx,167988,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/167988,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=167988
M.I. DRILLING FLUIDS DE MEXICO S.A. DE C.V.,MI DRILLING FLUIDS DE MEXICO S.A. DE C.V.,mx,1462425,[],,,[],[],,,,,,60.0,False,http://opencorporates.com/companies/mx/1462425,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1462425
INSTITUTO MEXICANO DEL PETROLEO,nomatch
"GLOBAL DRILLING FLUIDS DE MÉXICO, S.A. DE C.V.",nomatch
"PERFORADORA CENTRAL, S.A. DE C.V.","PERFORADORA CENTRAL, S.A. DE C.V",mx,124169,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/124169,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=124169
"PRIDE DRILLING, L.L.C. / PRIDE FORAMER, S.A.S.",nomatch
COMPANIA MEXICANA DE EXPLORACIONES S. A.,nomatch
"INDUSTRIAL PERFORADORA DE CAMPECHE, S.A. DE C.V.","INDUSTRIAL PERFORADORA DE CAMPECHE, S.A. DE C.V. INDUSTRIAL PERFORADORA DE CAMPECHE, S.A. DE C",mx,2311479,[],,,[],[],,,,,,70.0,False,http://opencorporates.com/companies/mx/2311479,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2311479
SCHLUMBERGER OFFSHORE SERVICES MEXICO N. V.,nomatch
PRIDE DRILLING L.L.C. / DRILLING LIMITED L.L.C.,nomatch
ICA FLUOR DANIEL S. DE R.L. DE C.V.,ICA FLUOR DANIEL S. DE RL. DE C.V.,mx,98650,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/98650,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=98650
NOBLE OFFSHORE VENEZUELA Y NOBLE OFFSHORE CONTRACTING LIMITED,nomatch
"NABORS PERFORACIONES DE MÉXICO, S. DE R. L. DE C.V. / NABORS MÉXICO, INC. Y NABORS DRILLING INTERNATIONAL LIMITED",nomatch
CONSTRUCCIONES MECANICAS MONCLOVA S. A. DE C. V.,nomatch
"QMAX MÉXICO, S.A. DE C.V.",QMAX MEXICO SA DE CV,mx,1188881,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1188881,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1188881
"TODCO MÉXICO, INC.",TODCO MEXICO INC.,us_de,3629034,[],"CAPITOL SERVICES, INC","1675 S STATE ST STE B, DOVER, DE, 19901",[],[],,,,,,80.0,False,http://opencorporates.com/companies/us_de/3629034,
PGS MEXICANA S.A DE C.V,PGS MEXICANA SA DE CV,mx,1227579,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1227579,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1227579
NOBLE OFFSHORE MEXICO LIMITED Y NOBLE DRILLING INTERNATIONAL LIMITED,nomatch
SCHLUMBERGER OFFSHORE SERVICES MEXICO N.V.,nomatch
"PRIDE DRILLING, L.L.C. / MÉXICO DRILLING LIMITED, L.L.C.",nomatch
NOBLE ROCHFORD DRILLING (NORTH SEA) LIMITED,nomatch
"PRIDE CENTRAL AMÉRICA, L.L.C. Y MÉXICO DRILLING LIMITED, L.L.C.",nomatch
BJ SERVICES COMPANY MEXICANA S.A. DE C.V.,BJ SERVICES COMPANY MEXICANA SA DE CV,mx,1190392,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1190392,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1190392
"BOSNOR, S.A. DE C.V.",BOSNOR S.A. DE C.V. BOSNOR S.A. DE C.V.,mx,2311500,[],,,[],[],,,,,,50.0,False,http://opencorporates.com/companies/mx/2311500,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2311500
"PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO, S.A DE C.V.","PROVEEDORA DE SEGURIDAD INDUSTRIAL DEL GOLFO, S.A DE C.V",mx,1440640,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/1440640,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1440640
LANDMARK GRAPHICS CORPORATION Y HALLIBURTON DE MEXICO S. DE R.L. DE C.V.,nomatch
COMPAQIA MEXICANA DE GEOFISICA S.A. DE C.V.,nomatch
"GLOBAL OFFSHORE MEXICO, S. DE R.L. DE C.V.","GLOBAL OFFSHORE MEXICO, S. DE R.L. DE C.V.",mx,91040,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/91040,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=91040
"SUBTEC, S.A. DE C.V.",nomatch
"SERVICIOS MARÍTIMOS DE CAMPECHE, S.A. DE C.V.","SERVICIOS MARITIMOS DE CAMPECHE, S.A DE C.V.",mx,1927630,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1927630,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1927630
"SEISMOGRAPH SERVICE DE MEXICO, S.A. DE C.V.",nomatch
PROTEXA S.A. DE C.V.,"PROTEXA, S.A. DE C.V.",mx,2047052,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/2047052,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=2047052
CONSTRUCCIONES MARITIMAS MEXICANAS S.A. DE C.V.,nomatch
JAVIER CANTU BARRAGAN,nomatch
COMPAÑIA MEXICANA DE GEOFISICA S.A. DE C.V.,nomatch
SOLAR TURBINES INCORPORATED,SOLAR TURBINES INCORPORATED,us_hi,6997F1,[],,,[],[],,,,,False,90.0,False,http://opencorporates.com/companies/us_hi/6997F1,https://hbe.ehawaii.gov/documents/business.html?fileNumber=6997F1
"SCHLUMBERGER OFFSHORE SERVICES MÉXICO, N.V.",nomatch
"HASUE AND ASSOCIATES,INC.",nomatch
"SERVICIOS PETROTEC, S.A. DE C.V.",SERVICIOS PETROTEC S.A. DE C.V.,mx,1541273,[],,,[],[],,,,,,60.0,False,http://opencorporates.com/companies/mx/1541273,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1541273
"ALIANZAS PERFOLAT, S.A. DE C.V.",nomatch
"HALLIBURTON DE MÉXICO, S.A. DE C.V.","HALLIBURTON DE MEXICO, S.A. DE C.V.",mx,1256661,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1256661,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1256661
"NITROPET, S.A. DE C.V.","NITROPET, S.A. DE C.V.",mx,814856,[],,,[],[],,"PRAXAIR, INC.",us_de,https://opencorporates.com/companies/us_de/2176449,,90.0,False,http://opencorporates.com/companies/mx/814856,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=814856
SEISMOGRAPH SERVICE DE MEXICO S.A. DE C.V.,nomatch
CERRO AZUL COMPAÑIA DE PERFORACION S. A. DE C. V.,nomatch
"OCEANOGRAFÍA, S.A DE C.V. / M-I DRILLING FLUIDS DE MÉXICO, S.A DE C.V.",nomatch
SABORATTO S.A. DE C.V.,nomatch
SOLAR TURBINES INC.,SOLAR TURBINES INCORPORATED,us_hi,6997F1,[],,,[],[],,,,,False,80.0,False,http://opencorporates.com/companies/us_hi/6997F1,https://hbe.ehawaii.gov/documents/business.html?fileNumber=6997F1
BAKER HUGHES DE MEXICO S. DE R.L. DE C.V.,"BAKER HUGHES DE MEXICO, S. DE R.L. DE C.V.",mx,1495948,[],,,[],[],,,,,,60.0,False,http://opencorporates.com/companies/mx/1495948,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1495948
"PD OILFIELD SERVICES MEXICANA, S. DE R.L. DE C.V.",nomatch
"CONSTRUCTORA ARECHIGA, S.A. DE C.V.","CONSTRUCTORA ARECHIGA, S.A. DE C.V.",mx,1096364,[],,,[],[],,,,,,90.0,False,http://opencorporates.com/companies/mx/1096364,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1096364
PROMOTORA AMBIENTAL DEL SURESTE S.A. DE C.V.,"PROMOTORA AMBIENTAL DEL SURESTE, S.A. DE C.V.",mx,1411636,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1411636,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1411636
"WEATHERFORD DE MÉXICO, S. A. DE C.V.",WEATHERFORD DE MEXICO S.A. DE C.V.,mx,1753890,[],,,[],[],,,,,,80.0,False,http://opencorporates.com/companies/mx/1753890,http://www.siem.gob.mx/siem/portal/consultas/cedDg.asp?siem_id=1753890
"ABB VETCO GRAY MÉXICO, S.A DE C.V.",nomatch
"CONSTRUCCIONES MARITIMAS MEXICANAS, S.A. DE C.V.",nomatch
SEABED GEOPHYSICAL AS,nomatch
